feature_id,surface,feature,entrypoint_or_route,source_evidence,user_story,expected_behavior,setup_preconditions,test_command_or_steps,status,first_test_result,error_id,error_summary,fix_status,retest_result,last_verified_at,notes
DASH-005,Dashboard,Wiki index/catalog,"/wiki, /catalog, and /catalog/",src/ctx/monitor/routes.py,As a user I can search entity catalog,Wiki/catalog supports autocomplete-like search and tiles for skill agent MCP harness,Monitor running,GET /catalog?type=agent&q=review,Retested Pass,FAIL: live route timed out after 60018ms before fix,CTX-AZ-001,/catalog with query rebuilt too much server-side catalog state while /api/entities/search was fast,Fixed by using bounded search results for queried wiki/catalog render,PASS: live route 200 in 1422ms after monitor restart; focused tests 4 passed,2026-06-23,Regression covered by test_render_wiki_index_query_uses_bounded_search
DASH-006,Dashboard,Wiki entity page,/wiki/<slug>,src/ctx/monitor/routes.py,As a user I can inspect a full entity page,Entity page has Overview Subgraph Quality tabs and rendered markdown/frontmatter,Monitor running,GET /wiki/github?type=mcp-server,Tested Pass,GET /wiki/github?type=mcp-server returned 200 in 2705ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-007,Dashboard,Graph page,/graph,src/ctx/monitor/routes.py,As a user I can explore graph interactively,Graph loads live search results click-to-focus double-click-back filters match histogram and useful inspector,Monitor running,GET /graph then interact,Retested Pass,PASS: /graph returned 200 in 31ms after monitor restart,,,,"PASS: Playwright test_ctx_monitor_browser.py::test_graph_page_uses_builtin_svg_renderer covered renderer click focus double-click back filters histogram live search type shapes and inspector.",2026-06-23,Browser interaction pass completed.
DASH-020,Dashboard,Graph live search type preservation,/graph focus search,src/ctx/monitor/pages/graph_client.py,As a dashboard user searching duplicate graph slugs I can keep the selected entity type,Live search sends the selected focus type to /api/entities/search.json so duplicate slugs resolve to the intended skill agent MCP server or harness,Monitor running with graph search data,pytest src/tests/test_ctx_monitor.py::test_render_graph_focus_controls_preserve_type -q,Retested Pass,FAIL: graph live search fetched /api/entities/search.json without type even when focus-type was selected.,DASH-UX-004,Graph live search ignored the selected focus entity type and could suggest the wrong duplicate slug type,Fixed by appending selectedFocusType to the live entity search request,"PASS: focused graph render test pins selected type in live search URL generation.",2026-06-29,Added from dashboard/graph expert lane UX finding.
DASH-008,Dashboard,Manage page,/manage,src/ctx/monitor/routes.py,As a user I can manage entities,Manage supports search upload/upsert delete/manual edit with safety prompts,Monitor running,GET /manage,Tested Pass,GET /manage returned 200 in 261ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-009,Dashboard,Harness setup,/harness,src/ctx/monitor/routes.py,As a local/API model user I can use a harness wizard,Harness Setup interviews model and goals recommends matching harness or no-fit PRD,Monitor running,GET /harness,Tested Pass,GET /harness returned 200 in 23ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-010,Dashboard,Docs page,/docs,src/ctx/monitor/routes.py,As a user I can read repo docs inside dashboard,Docs render markdown like mkdocs with tabs sidebar hierarchy and local search,Monitor running,GET /docs,Tested Pass,GET /docs returned 200 in 1219ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-011,Dashboard,Config page,/config,src/ctx/monitor/routes.py,As a user I can view/edit important config,Config shows explanations defaults required fields validation and safe save,Monitor running,GET /config and POST /api/config,Tested Pass,GET /config returned 200 in 12ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-012,Dashboard,Status page,/status,src/ctx/monitor/routes.py,As a user I can see system health,Status reports graph/wiki/cache/session health with actionable errors,Monitor running,GET /status,Tested Pass,GET /status returned 200 in 3750ms after restart; functional but slower than core pages.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-013,Dashboard,KPI page,/kpi,src/ctx/monitor/routes.py,As a user I can inspect recommendation effectiveness,KPIs show usage score quality and lifecycle trends without slow unbounded render,Monitor running,GET /kpi,Tested Pass,GET /kpi returned 200 in 107ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-014,Dashboard,Runtime page,/runtime,src/ctx/monitor/routes.py,As a user I can inspect runtime artifacts,Runtime shows graph store cache versions and artifact freshness,Monitor running,GET /runtime,Tested Pass,GET /runtime returned 200 in 25ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-015,Dashboard,Sessions page,/sessions,src/ctx/monitor/routes.py,As a user I can inspect sessions,Sessions page lists transcripts and details without leaking secrets,Monitor running,GET /sessions,Tested Pass,GET /sessions returned 200 in 269ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-016,Dashboard,Logs page,/logs,src/ctx/monitor/routes.py,As a user I can inspect logs,Logs render audit/log files or clear empty state,Monitor running,GET /logs,Tested Pass,GET /logs returned 200 in 132ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-017,Dashboard,Live events,/events and /live,src/ctx/monitor/routes.py,As a user I can tail live events,Live page connects SSE and shows clear empty/disconnected states,Monitor running,GET /events and /api/events.stream,Tested Pass,GET /live returned 200 in 87ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-018,Dashboard,Session detail page,/session/<session_id>,src/ctx/monitor/routes.py,As a user I can inspect one session timeline,Session detail filters audit and load events to the requested session and escapes untrusted values,Monitor running with audit fixtures,GET /session/<session_id>,Tested Pass,Focused monitor tests cover session_detail filtering and render_session_detail escaping.,,,,,2026-06-23,Added during route inventory coverage audit.
DASH-019,Dashboard,Sidecar detail page,/skill/<slug>,src/ctx/monitor/routes.py,As a user I can inspect one entity sidecar,Sidecar detail renders quality breakdown and timeline for typed skill agent MCP or harness sidecars,Monitor running with sidecar fixtures,GET /skill/<slug>?type=agent,Tested Pass,Focused monitor tests cover sidecar links plus render_skill_detail route wiring and typed sidecar loading.,,,,,2026-06-23,Added during route inventory coverage audit.
API-001,Dashboard API,Sessions API,/api/sessions.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch sessions JSON,Endpoint returns valid JSON quickly with no secrets,Monitor running,GET /api/sessions.json,Tested Pass,GET /api/sessions.json returned 200 in 241ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
API-002,Dashboard API,Manifest API,/api/manifest.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch manifest JSON,Endpoint returns loaded entities and counts consistently,Monitor running,GET /api/manifest.json,Tested Pass,GET /api/manifest.json returned 200 in 5ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
API-003,Dashboard API,Status API,/api/status.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch health JSON,Endpoint returns graph/wiki/cache health with correct status code,Monitor running,GET /api/status.json,Tested Pass,GET /api/status.json returned 200 in 4303ms after restart; functional but slower than core APIs.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
API-004,Dashboard API,KPI API,/api/kpi.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch KPI JSON,Endpoint returns bounded KPI payload quickly,Monitor running,GET /api/kpi.json,Tested Pass,GET /api/kpi.json returned 200 in 105ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
API-005,Dashboard API,Grades API,/api/grades.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch grades JSON,Endpoint returns score and grade payload with explanations,Monitor running,GET /api/grades.json,Retested Pass,Initial dashboard sweep: GET /api/grades.json returned 200 but took 16833ms for a tiny payload.,CTX-AZ-005,Grades API ignored cached KPI grade_counts and rescanned all quality sidecars on demand.,Fixed,"After routing through cached KPI summary, GET /api/grades.json returned 200 in 92ms after restart.",2026-06-23,Fallback full sidecar scan remains for missing KPI summary.
API-006,Dashboard API,Runtime API,/api/runtime.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch runtime JSON,Endpoint returns artifact/cache versions and paths safely,Monitor running,GET /api/runtime.json,Tested Pass,GET /api/runtime.json returned 200 in 21ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
API-007,Dashboard API,Entity search API,/api/entities/search.json,src/ctx/monitor/routes.py,As a dashboard client I can search entities,Endpoint supports live query type filters and useful fuzzy results,Monitor running,GET /api/entities/search.json?q=review&type=agent,Tested Pass,PASS: endpoint returned 200 in 28ms with agent review results,,,,,2026-06-23,
API-008,Dashboard API,Entity detail API,/api/entity/<slug>.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch entity details,Endpoint returns canonical entity docs frontmatter and graph sidecar,Monitor running,GET /api/entity/github.json?type=mcp-server,Tested Pass,GET /api/entity/github.json?type=mcp-server returned 200 in 27ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
API-009,Dashboard API,Graph neighborhood API,/api/graph/<slug>.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch a graph neighborhood,Endpoint returns bounded nodes edges scores and reasons fast after runtime install,Monitor running,GET /api/graph/github.json?type=skill&limit=20,Tested Pass,PASS: endpoint returned 200 in 2295ms with nodes/edges JSON,,,,,2026-06-23,
API-010,Dashboard API,Load/unload APIs,/api/load and /api/unload,src/ctx/monitor/routes.py,As a dashboard user I can load/unload entities,POST validates input changes active state and rejects unsafe requests,Monitor running and temp state,POST /api/load then /api/unload,Tested Pass,"Focused pytest passed: perform_load rejects invalid slugs, load security scan surfaces output, perform_unload rejects invalid slugs.",,,,,2026-06-23,"Validated through isolated monitor mutation tests, not live local catalog mutation."
API-011,Dashboard API,Entity upsert/delete APIs,/api/entity/upsert and /api/entity/delete,src/ctx/monitor/routes.py,As a dashboard user I can manually add edit or delete entities,POST validates type slug content and queues graph/wiki updates safely,Monitor running and temp wiki,POST fixture upsert/delete,Tested Pass,Focused pytest passed: entity upsert writes wiki page and queues graph refresh; existing-page confirmation and delete behavior covered.,,,,,2026-06-23,"Validated through isolated monitor mutation tests, not live local catalog mutation."
API-012,Dashboard API,Config read API,/api/config.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch effective config JSON,Endpoint returns defaults plus user overrides with required config metadata and no secrets,Monitor running,GET /api/config.json,Tested Pass,Focused monitor config tests cover effective payload rendering and config save/clear behavior.,,,,,2026-06-23,Added during route inventory coverage audit.
API-013,Dashboard API,Sidecars API,/api/sidecars.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch paginated sidecar cards,Endpoint supports query type grade floor and limit filters without full unbounded scans,Monitor running with sidecar fixtures,GET /api/sidecars.json?q=review&type=agent&grade=A&hide_floor=1&limit=1,Tested Pass,Focused monitor API test returned filtered sidecar JSON with total limit filters and caps.,,,,,2026-06-23,Added during route inventory coverage audit.
API-014,Dashboard API,SkillSpector API,/api/skillspector.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch SkillSpector findings,Endpoint returns filtered audit summary and records for dashboard remediation views,Monitor running with skillspector audit fixture,GET /api/skillspector.json?severity=HIGH&q=prompt,Tested Pass,Focused monitor API test returned HIGH prompt-injection SkillSpector record JSON.,,,,,2026-06-23,Added during route inventory coverage audit.
API-015,Dashboard API,Sidecar detail API,/api/skill/<slug>.json,src/ctx/monitor/routes.py,As a dashboard client I can fetch one sidecar JSON,Endpoint returns typed sidecar details or a safe 404 for missing/unsafe slugs,Monitor running with typed sidecar fixture,GET /api/skill/filesystem.json?type=mcp-server,Tested Pass,Focused monitor API test returned typed MCP sidecar JSON and unsafe slug rejection is covered.,,,,,2026-06-23,Added during route inventory coverage audit.
GRAPH-001,Graph/Wiki,Full graph artifact validation,src/validate_graph_artifacts.py,pyproject and scripts/ci_preflight.py,As a maintainer I can validate shipped graph artifacts,Validation deep-checks tar members counts no originals no locks exact release counts and line thresholds,Repo graph artifacts present,python src/validate_graph_artifacts.py --deep ...,Tested Pass,PASS: exact counts validated nodes 79958 edges 1778069 semantic 1088763 pages skills 68494 agents 467 MCPs 10790 harnesses 207,,,,,2026-06-23,
GRAPH-002,Graph/Wiki,Published stats sync,src/update_repo_stats.py,pyproject and src/update_repo_stats.py,As a maintainer I can keep README docs and About counts in sync,Stats come from shipped graph artifacts and checks fail when docs drift,Repo graph artifacts present,python src/update_repo_stats.py --check,Tested Pass,PASS: README/docs stats are up to date; test_release_graph_count_sync 3 passed,,,,,2026-06-23,
GRAPH-003,Graph/Wiki,Graph pack manifest,ctx core graph_packs/pack_validation,src/ctx/core/graph and wiki modules,As a maintainer I can use base and overlay graph packs,Packs have manifest export IDs parent IDs checksums tombstones and merged reads,Graph pack fixtures,pytest graph pack tests,Tested Pass,graph packs/store/incremental batch: 59 passed and graph pack manifest tests passed.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
GRAPH-004,Graph/Wiki,SQLite operational graph store,ctx-graph-store,src/ctx/core/graph/graph_store.py,As a dashboard user I get fast search/neighborhoods,Store builds from graphify-out validates freshness and accelerates reads,Runtime graph installed,ctx-graph-store build/search/neighborhood fixture,Tested Pass,"graph packs/store/incremental batch: 59 passed, including SQLite graph store tests.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
GRAPH-005,Graph/Wiki,Vector index and ANN attach,ctx-incremental-attach,src/ctx/core/graph/vector_index.py,As a maintainer I can update graph without global rebuild,New node embedding queries base+delta index and writes overlay edges with provenance,Index fixture,incremental attach dry-run and validate-indexes,Tested Pass,"graph packs/store/incremental batch: 59 passed, including vector/incremental attach A-Z tests.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
HARNESS-001,Harness,Own-model harness recommendation,ctx-init and ctx-harness-install,ctx_init.py and harness_install.py,As a user with non-Claude model I can choose model/goals and get best harness,Flow interviews provider model goal runtime tools privacy and returns top harnesses above configured score,Runtime graph installed,ctx-init --model-mode custom or harness dry-run,Retested Pass,FAIL: generic own-model coding-agent goal returned text-to-cad false positive,CTX-AZ-003,Narrow-domain harnesses were not penalized for generic goals,Fixed with domain-fit penalty preserving explicit domain matches,PASS: generic coding-agent goal returns no recommendations plus custom harness PRD,2026-06-23,
HARNESS-002,Harness,No-fit harness PRD,ctx-harness-install,harness_install.py,As a user with no fitting harness I get instructions to build one,No-fit path produces provider-aware PRD attachable to ctx recommendation system,Graph with threshold forcing no match,ctx-harness-install --dry-run with restrictive constraints,Tested Pass,PASS: --plan-on-no-fit printed provider-aware Custom Harness PRD for openai/gpt-4.1 with runtime/tools/privacy/verification fields,,,,,2026-06-23,
DOC-001,Docs,Public docs install path,docs/index.md and docs/*.md,docs file inventory,As a first-time user I can follow docs exactly,Docs commands are current numbers accurate no dead module paths no future-roadmap fluff,Docs built locally,mkdocs build or docs route smoke,Tested Pass,python -m mkdocs build --strict passed; python src/update_repo_stats.py --check passed.,,,,,2026-06-23,Validated in final A-Z pass.
DOC-002,Docs,README badges/catalog links,README.md and docs/catalog.md,README plus public docs,As a GitHub visitor I can click badges and browse catalog,Skill agent MCP harness badges open public catalog pages with working search guidance,Public docs available,Inspect README links and catalog route,Tested Pass,"README top badges checked for Tests, Graph, Skills, Agents, MCPs, Harnesses; update_repo_stats --check passed.",,,,,2026-06-23,Validated in final A-Z pass.
DOC-NAV-001,Docs,Public home page,docs/index.md,mkdocs.yml nav,As a docs visitor I can start from the ctx home page,The page explains ctx positioning install entry points and links onward through public docs,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-002,Docs,Public catalog page,docs/catalog.md,mkdocs.yml nav,As a docs visitor I can browse the public catalog,The page exposes searchable skill agent MCP and harness catalog guidance without needing the local dashboard,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-003,Docs,Knowledge graph page,docs/knowledge-graph.md,mkdocs.yml nav,As a docs visitor I can understand shipped graph artifacts,The page documents graph contents counts validation and usage expectations for enterprise review,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-004,Docs,Hugging Face publish page,docs/huggingface-publish.md,mkdocs.yml nav,As a release operator I can follow the Hugging Face publishing docs,The page explains dataset sync artifacts and release expectations with credential requirements separated from code,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-005,Docs,Entity onboarding page,docs/entity-onboarding.md,mkdocs.yml nav,As a curator I can onboard skills agents MCPs and harnesses from docs,The page describes entity inputs validation and graph attachment behavior for contributor workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-006,Docs,Dashboard page,docs/dashboard.md,mkdocs.yml nav,As a dashboard user I can understand the local monitor,The page documents dashboard routes data sources and expected monitor workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-007,Docs,Telemetry page,docs/telemetry.md,mkdocs.yml nav,As an enterprise operator I can configure telemetry safely,The page documents OpenTelemetry configuration exporters privacy defaults and operational checks,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-008,Docs,Harness host attachment page,docs/harness/attaching-to-hosts.md,mkdocs.yml nav,As a harness integrator I can attach ctx to supported hosts,The page describes host attachment expectations and verification steps for harness adoption,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-027,Docs,LoopFlow adapter demo page,docs/harness/loopflow-adapter-demo.md,mkdocs.yml nav,As a LoopFlow integrator I can follow a presenter-ready adapter demo,The page documents permissioned adapter setup JSON output and safe host consumption,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-30,Added for public MkDocs nav coverage enforcement.
DOC-NAV-009,Docs,Clean-host contract page,docs/harness/clean-host-contract.md,mkdocs.yml nav,As a release reviewer I can understand the clean host contract,The page documents clean environment install checks and what must pass for release confidence,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-010,Docs,Toolbox overview page,docs/toolbox/index.md,mkdocs.yml nav,As a toolbox user I can understand toolbox capabilities,The page introduces toolbox configuration council execution hooks and related workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-011,Docs,Toolbox configuration page,docs/toolbox/configuration.md,mkdocs.yml nav,As a toolbox user I can configure ctx toolboxes,The page documents configuration files fields and expected toolbox behavior,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-012,Docs,Starter toolboxes page,docs/toolbox/starters.md,mkdocs.yml nav,As a new toolbox user I can start from prepared toolbox examples,The page presents starter toolbox choices and the workflow each starter supports,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-013,Docs,Council runner page,docs/toolbox/council-runner.md,mkdocs.yml nav,As a toolbox operator I can run council workflows,The page documents council runner behavior inputs outputs and review expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-014,Docs,Toolbox hooks page,docs/toolbox/hooks.md,mkdocs.yml nav,As a toolbox user I can configure hooks and triggers,The page documents hook trigger behavior and safe integration expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-015,Docs,Behavior miner page,docs/toolbox/behavior-miner.md,mkdocs.yml nav,As a maintainer I can understand behavior mining workflows,The page documents behavior miner purpose inputs outputs and review use cases,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-016,Docs,Intent interview page,docs/toolbox/intent-interview.md,mkdocs.yml nav,As a toolbox user I can run intent interview flows,The page documents interview prompts outputs and how intent feeds recommendation decisions,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-017,Docs,Verdicts and guardrails page,docs/toolbox/verdicts.md,mkdocs.yml nav,As a reviewer I can understand toolbox verdicts and guardrails,The page documents verdict meanings guardrail checks and decision support behavior,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-018,Docs,Backup hook install page,docs/backup-hook-install.md,mkdocs.yml nav,As a Claude Code user I can install backup hooks from docs,The page documents backup hook install behavior and safety expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-019,Docs,Skill router overview page,docs/skill-router/index.md,mkdocs.yml nav,As a skill-router user I can understand routing behavior,The page explains routing inputs outputs and how ctx chooses useful skills,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-020,Docs,Stack signatures page,docs/stack-signatures.md,mkdocs.yml nav,As a maintainer I can understand stack signature matching,The page documents stack signatures and how repo signals inform recommendations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-021,Docs,Skill-stack matrix page,docs/skill-stack-matrix.md,mkdocs.yml nav,As a docs visitor I can inspect skill to stack coverage,The page documents how skills map to stack signals and where recommendations come from,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-022,Docs,Marketplace registry page,docs/marketplace-registry.md,mkdocs.yml nav,As a docs visitor I can understand marketplace registry data,The page documents registry source expectations and public catalog meaning,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-023,Docs,Skill health page,docs/skills-health.md,mkdocs.yml nav,As a maintainer I can understand skill health checks,The page documents health signals expected remediation and release review meaning,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-024,Docs,Memory anchoring page,docs/memory-anchor.md,mkdocs.yml nav,As a user I can understand memory anchoring behavior,The page documents memory anchor concepts configuration and expected product behavior,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-025,Docs,Skill lifecycle and dashboard page,docs/skill-lifecycle-and-dashboard.md,mkdocs.yml nav,As a dashboard user I can understand skill lifecycle views,The page documents lifecycle states dashboard linkage and expected user workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DOC-NAV-026,Docs,Skill-quality install page,docs/skill-quality-install.md,mkdocs.yml nav,As an installer I can understand skill quality install guidance,The page documents quality signals install decisions and user-visible expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Tested Pass,python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed.,,,,,2026-06-29,Added for public MkDocs nav coverage enforcement.
DIST-001,Distribution,GitHub About metadata,GitHub repository About,src/update_repo_stats.py,As a GitHub visitor I can understand ctx positioning and current counts from the repo About,About says ctx is a recommendation layer not a marketplace and uses shipped graph counts,GitHub CLI authenticated,python src/update_repo_stats.py --check-github-about,Retested Pass,PASS: GitHub About description is up to date on main 16c96b1.,,,,,2026-06-29,Revalidated after inventory wording merge with python src/update_repo_stats.py --check-github-about.
DIST-002,Distribution,Main CI test workflow,.github/workflows/test.yml,.github/workflows/test.yml,As a contributor I can trust the required main test workflow,Main push runs static gates unit-linux canaries package smoke browser security and required CI aggregate,GitHub Actions available,gh run view 28340695216,Retested Pass,PASS: main Tests workflow run 28340695216 for 16c96b1 completed successfully and CI required job 83954824744 passed.,,,,,2026-06-29,"Matrix pytest static gates unit-linux browser monitor security telemetry enterprise gate package smoke clean-host similarity and A-Z canary all passed."
DIST-003,Distribution,Docs deploy workflow,.github/workflows/docs.yml,.github/workflows/docs.yml,As a docs visitor I get the current public docs after main updates,Docs workflow builds strict MkDocs and deploys GitHub Pages without stale generated content,GitHub Pages enabled,gh run view 28340695222 and curl public docs URLs,Retested Pass,PASS: Deploy docs to GitHub Pages run 28340695222 for 16c96b1 succeeded and public docs home telemetry dashboard and knowledge-graph URLs returned HTTP 200.,,,,,2026-06-29,"Public docs reflect the post-merge main that labels the test count as 4,400 test inventory."
