feature_id,parent_feature_id,source_tracker,surface,feature,entrypoint_or_route,source_evidence,risk_level,user_story,expected_behavior,setup_preconditions,test_command_or_steps,verification_mode,status,evidence,bug_id,bug_summary,bug_repro,fix_status,retest_evidence,last_verified_at,owner_lane,notes,review_status,review_notes,fix_strategy,validation_status
API-012,,docs/qa/feature-user-story-status.csv,Dashboard API,Config read API,/api/config.json,src/ctx/monitor/routes.py; src/ctx/monitor/api/readonly.py; src/ctx/monitor/services/config.py,High,As a dashboard client I can fetch effective config JSON,Endpoint returns defaults user effective and path while recursively redacting secret values and preserving only allowlisted typed values on the graph.edge_weights.slug_tokens and graph.token_edges paths,Monitor running or temp config fixture,.venv/bin/python -m pytest -q --no-cov src/tests/test_monitor_config_service.py src/tests/test_ctx_monitor.py -k 'effective_config_payload or render_config_page or save_config_updates or render_config_posts',Automated Test,Tested Pass,PASS: 5 focused config/API tests and independent adversarial review cover nested quoted header bearer argv and typed-setting boundaries.,AUDIT-069,Config payload previously leaked credential forms and over-redacted legitimate token settings.,Exercise adversarial strings sequences nested secrets and typed settings then serialize the payload and compare raw file.,Fixed,PASS: reviewer found no P1 P2 or P3 behavior issue; raw config remains unchanged and full mypy is clean.,2026-07-20,API/MCP Lane,Redaction occurs only at the dashboard/API boundary and preserves normal values.,Approved by independent privacy reviewer,All retained credential shapes are redacted; only allowlisted typed graph token-path values remain visible while generic token-named keys are redacted.,Ponytail: one shared boundary-aware recursive sanitizer.,Retested independently and covered by clean project static gates
API-013,,docs/qa/feature-user-story-status.csv,Dashboard API,Sidecars API,/api/sidecars.json,src/ctx/monitor/routes.py,High,As a dashboard client I can fetch paginated sidecar cards,Endpoint supports query type grade floor and limit filters without full unbounded scans,Monitor running with sidecar fixtures,GET /api/sidecars.json?q=review&type=agent&grade=A&hide_floor=1&limit=1,Manual/Documented,Tested Pass,Focused monitor API test returned filtered sidecar JSON with total limit filters and caps.,,,,,,2026-06-23,API/MCP Lane,Added during route inventory coverage audit.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
API-014,,docs/qa/feature-user-story-status.csv,Dashboard API,SkillSpector API,/api/skillspector.json,src/ctx/monitor/routes.py,High,As a dashboard client I can fetch SkillSpector findings,Endpoint returns filtered audit summary and records for dashboard remediation views,Monitor running with skillspector audit fixture,GET /api/skillspector.json?severity=HIGH&q=prompt,Manual/Documented,Tested Pass,Focused monitor API test returned HIGH prompt-injection SkillSpector record JSON.,,,,,,2026-06-23,API/MCP Lane,Added during route inventory coverage audit.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
API-015,,docs/qa/feature-user-story-status.csv,Dashboard API,Sidecar detail API,/api/skill/<slug>.json,src/ctx/monitor/routes.py,High,As a dashboard client I can fetch one sidecar JSON,Endpoint returns typed sidecar details or a JSON detail 404 for missing/unsafe slugs,Monitor running with typed sidecar fixture,GET /api/skill/filesystem.json?type=mcp-server and /api/skill/missing-sidecar.json,Manual/Documented,Retested Pass,Focused monitor API tests returned typed MCP sidecar JSON and JSON detail 404 for a missing sidecar.,AUDIT-025,Missing sidecar API responses used an HTML 404 body.,GET /api/skill/missing-sidecar.json before the fix and inspect status content type and body.,Fixed,PASS: .venv/bin/python -m pytest src/tests/test_ctx_monitor.py::test_skill_sidecar_api_missing_sidecar_returns_json_404 src/tests/test_ctx_monitor.py::test_skill_sidecar_api_reads_typed_sidecar -q -> 2 passed.,2026-07-05,API/MCP Lane,Updated for JSON API missing-sidecar 404 behavior.,Reviewed by no-mistakes,Focused monitor API sidecar regression passed locally; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: route-local JSON error only; no dispatcher refactor.,Validated by focused monitor API regression and completed goal-loop/no-mistakes gate.
GRAPH-001,,docs/qa/feature-user-story-status.csv,Graph/Wiki,Full graph artifact validation,src/validate_graph_artifacts.py,pyproject and scripts/ci_preflight.py; src/validate_graph_artifacts.py,Medium,As a maintainer I can validate shipped graph artifacts,Validation deep-checks tar members counts no originals no locks no host-user paths exact release counts and line thresholds,Repo graph artifacts present,python src/validate_graph_artifacts.py --deep ...,Manual/Documented,Tested Pass,PASS: exact counts validated nodes 79958 edges 1778069 semantic 1088763 pages skills 68494 agents 467 MCPs 10790 harnesses 207,,,,,,2026-06-23,Core/Docs Lane,,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: graph artifact integrity and host-path privacy only.,Validated by completed goal-loop and no-mistakes gate
GRAPH-002,,docs/qa/feature-user-story-status.csv,Graph/Wiki,Published stats sync,src/update_repo_stats.py,pyproject and src/update_repo_stats.py,High,As a maintainer I can keep README docs and About counts in sync,Stats come from shipped graph artifacts and checks fail when docs drift,Repo graph artifacts present,python src/update_repo_stats.py --check,Automated Test,Tested Pass,PASS: README/docs stats are up to date; test_release_graph_count_sync 3 passed,,,,,,2026-06-23,Core/Docs Lane,,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
GRAPH-003,,docs/qa/feature-user-story-status.csv,Graph/Wiki,Graph pack manifest,ctx core graph_packs/pack_validation,src/ctx/core/graph/graph_packs.py; src/ctx/core/wiki/wiki_packs.py; src/ctx/core/wiki/artifact_promotion.py; src/ctx/core/wiki/pack_compaction.py,Medium,As a maintainer I can use base and overlay graph packs,Packs carry lineage artifact checksums counts and tombstones; validated readers merge overlays; promotion and compaction preserve atomic published state,Graph and wiki pack fixtures,.venv/bin/python -m pytest -q --no-cov src/tests/test_graph_packs.py src/tests/test_wiki_packs.py src/tests/test_artifact_promotion.py src/tests/test_pack_compaction.py,Automated Test,Tested Pass,PASS: 77 combined incremental attach graph pack wiki pack promotion and compaction tests passed in 1.91s.,AUDIT-071,Historical source evidence and test steps were broad prose rather than exact executable ownership.,Resolve each claimed pack behavior to its implementation and run the four focused pack suites.,Fixed,PASS: 77 focused tests passed across attach and pack surfaces; canonical evidence paths all exist.,2026-07-16,Core/Docs Lane,Exact modules now replace the broad graph-and-wiki directory claim.,Reviewed locally,Current expected behavior follows manifest validation merge promotion and compaction code.,Ponytail: tracker-only boundary and evidence correction.,Retested in current audit phase
GRAPH-004,CLI-036,docs/qa/feature-user-story-status.csv,Graph/Wiki,SQLite operational graph store,ctx-graph-store,src/ctx/core/graph/graph_store.py,Medium,As a dashboard user I get fast search/neighborhoods,Store builds from graphify-out validates freshness and accelerates reads,Runtime graph installed,ctx-graph-store build/search/neighborhood fixture,Automated Test,Tested Pass,"graph packs/store/incremental batch: 59 passed, including SQLite graph store tests.",,,,,,2026-06-23,Core/Docs Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
GRAPH-005,CLI-034,docs/qa/feature-user-story-status.csv,Graph/Wiki,Vector index and ANN attach,ctx-incremental-attach,src/ctx/core/graph/vector_index.py; src/embedding_backend.py; src/ctx/core/graph/entity_overlays.py; src/ctx/core/graph/incremental_attach.py,Medium,As a maintainer I can update graph without global rebuild,New node embedding queries base+delta index and writes overlay edges with provenance,Index fixture,incremental attach dry-run and validate-indexes,Automated Test,Tested Pass,"graph packs/store/incremental batch: 59 passed, including vector/incremental attach A-Z tests.",,,,,,2026-06-23,Core/Docs Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
HARNESS-001,,docs/qa/feature-user-story-status.csv,Harness,Own-model harness recommendation,ctx-init and ctx-harness-install,ctx_init.py and harness_install.py,High,As a user with non-Claude model I can choose model/goals and get best harness,Flow interviews provider model goal runtime tools privacy and returns top harnesses above configured score,Runtime graph installed,ctx-init --model-mode custom or harness dry-run,CLI Smoke,Retested Pass,FAIL: generic own-model coding-agent goal returned text-to-cad false positive,CTX-AZ-003,Narrow-domain harnesses were not penalized for generic goals,ctx-init --model-mode custom or harness dry-run,Fixed with domain-fit penalty preserving explicit domain matches,PASS: generic coding-agent goal returns no recommendations plus custom harness PRD,2026-06-23,Core/Docs Lane,,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
HARNESS-002,CLI-026,docs/qa/feature-user-story-status.csv,Harness,No-fit harness PRD,ctx-harness-install,harness_install.py,High,As a user with no fitting harness I get instructions to build one,No-fit path produces provider-aware PRD attachable to ctx recommendation system,Graph with threshold forcing no match,ctx-harness-install --dry-run with restrictive constraints,CLI Smoke,Tested Pass,PASS: --plan-on-no-fit printed provider-aware Custom Harness PRD for openai/gpt-4.1 with runtime/tools/privacy/verification fields,,,,,,2026-06-23,Core/Docs Lane,,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-001,,docs/qa/feature-user-story-status.csv,Docs,Public docs install path,docs/index.md and docs/*.md,docs file inventory,Medium,As a first-time user I can follow docs exactly,Docs commands are current numbers accurate no dead module paths no future-roadmap fluff,Docs built locally,mkdocs build or docs route smoke,Automated Test,Tested Pass,python -m mkdocs build --strict passed; python src/update_repo_stats.py --check passed.,,,,,,2026-06-23,Core/Docs Lane,Validated in final A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-002,,docs/qa/feature-user-story-status.csv,Docs,README badges/catalog links,README.md and docs/catalog.md,README plus public docs,Medium,As a GitHub visitor I can click badges and browse catalog,Skill agent MCP harness badges open public catalog pages with working search guidance,Public docs available,Inspect README links and catalog route,Automated Test,Tested Pass,"README top badges checked for Tests, Graph, Skills, Agents, MCPs, Harnesses; update_repo_stats --check passed.",,,,,,2026-06-23,Core/Docs Lane,Validated in final A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-001,,docs/qa/feature-user-story-status.csv,Docs,Public home page,docs/index.md,mkdocs.yml nav,Medium,As a docs visitor I can start from the ctx home page,The page explains ctx positioning install entry points and links onward through public docs,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/index.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-002,,docs/qa/feature-user-story-status.csv,Docs,Public catalog page,docs/catalog.md,mkdocs.yml nav,Medium,As a docs visitor I can browse the public catalog,The page exposes searchable skill agent MCP and harness catalog guidance without needing the local dashboard,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/catalog.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-003,,docs/qa/feature-user-story-status.csv,Docs,Knowledge graph page,docs/knowledge-graph.md,mkdocs.yml nav,Medium,As a docs visitor I can understand shipped graph artifacts,The page documents graph contents counts validation and usage expectations for enterprise review,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/knowledge-graph.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-004,,docs/qa/feature-user-story-status.csv,Docs,Hugging Face publish page,docs/huggingface-publish.md,mkdocs.yml nav,High,As a release operator I can follow the Hugging Face publishing docs,The page explains dataset sync artifacts and release expectations with credential requirements separated from code,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/huggingface-publish.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-005,,docs/qa/feature-user-story-status.csv,Docs,Entity onboarding page,docs/entity-onboarding.md,mkdocs.yml nav,Medium,As a curator I can onboard skills agents MCPs and harnesses from docs,The page describes entity inputs validation and graph attachment behavior for contributor workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/entity-onboarding.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-006,,docs/qa/feature-user-story-status.csv,Docs,Dashboard page,docs/dashboard.md,mkdocs.yml nav,Medium,As a dashboard user I can understand the local monitor,The page documents dashboard routes data sources and expected monitor workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/dashboard.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-007,,docs/qa/feature-user-story-status.csv,Docs,Telemetry page,docs/telemetry.md,mkdocs.yml nav,High,As an enterprise operator I can configure telemetry safely,The page documents OpenTelemetry configuration exporters privacy defaults and operational checks,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/telemetry.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-008,,docs/qa/feature-user-story-status.csv,Docs,Harness host attachment page,docs/harness/attaching-to-hosts.md,mkdocs.yml nav,Medium,As a harness integrator I can attach ctx to supported hosts,The page describes host attachment expectations and verification steps for harness adoption,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/harness/attaching-to-hosts.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-027,,docs/qa/feature-user-story-status.csv,Docs,LoopFlow adapter demo page,docs/harness/loopflow-adapter-demo.md,mkdocs.yml nav,Medium,As a LoopFlow integrator I can follow a presenter-ready adapter demo,The page documents permissioned adapter setup JSON output and safe host consumption,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/harness/loopflow-adapter-demo.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-30,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-009,,docs/qa/feature-user-story-status.csv,Docs,Clean-host contract page,docs/harness/clean-host-contract.md,mkdocs.yml nav,Medium,As a release reviewer I can understand the clean host contract,The page documents clean environment install checks and what must pass for release confidence,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/harness/clean-host-contract.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-010,,docs/qa/feature-user-story-status.csv,Docs,Toolbox overview page,docs/toolbox/index.md,mkdocs.yml nav,Medium,As a toolbox user I can understand toolbox capabilities,The page introduces toolbox configuration council execution hooks and related workflows,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/index.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-011,,docs/qa/feature-user-story-status.csv,Docs,Toolbox configuration page,docs/toolbox/configuration.md,mkdocs.yml nav,Medium,As a toolbox user I can configure ctx toolboxes,The page documents configuration files fields and expected toolbox behavior,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/configuration.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-012,,docs/qa/feature-user-story-status.csv,Docs,Starter toolboxes page,docs/toolbox/starters.md,mkdocs.yml nav,Medium,As a new toolbox user I can start from prepared toolbox examples,The page presents starter toolbox choices and the workflow each starter supports,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/starters.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-013,,docs/qa/feature-user-story-status.csv,Docs,Council runner page,docs/toolbox/council-runner.md,mkdocs.yml nav,Medium,As a toolbox operator I can run council workflows,The page documents council runner behavior inputs outputs and review expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/council-runner.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-014,,docs/qa/feature-user-story-status.csv,Docs,Toolbox hooks page,docs/toolbox/hooks.md,mkdocs.yml nav,Medium,As a toolbox user I can configure hooks and triggers,The page documents hook trigger behavior and safe integration expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/hooks.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-015,,docs/qa/feature-user-story-status.csv,Docs,Behavior miner page,docs/toolbox/behavior-miner.md,mkdocs.yml nav,Medium,As a maintainer I can understand behavior mining workflows,The page documents behavior miner purpose inputs outputs and review use cases,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/behavior-miner.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-016,,docs/qa/feature-user-story-status.csv,Docs,Intent interview page,docs/toolbox/intent-interview.md,mkdocs.yml nav,Medium,As a toolbox user I can run intent interview flows,The page documents interview prompts outputs and how intent feeds recommendation decisions,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/intent-interview.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-017,,docs/qa/feature-user-story-status.csv,Docs,Verdicts and guardrails page,docs/toolbox/verdicts.md,mkdocs.yml nav,Medium,As a reviewer I can understand toolbox verdicts and guardrails,The page documents verdict meanings guardrail checks and decision support behavior,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/toolbox/verdicts.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-018,,docs/qa/feature-user-story-status.csv,Docs,Backup hook install page,docs/backup-hook-install.md,mkdocs.yml nav,Medium,As a Claude Code user I can install backup hooks from docs,The page documents backup hook install behavior and safety expectations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/backup-hook-install.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-019,,docs/qa/feature-user-story-status.csv,Docs,Skill router overview page,docs/skill-router/index.md,mkdocs.yml nav,Medium,As a skill-router user I can understand routing behavior,The page explains routing inputs outputs and how ctx chooses useful skills,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/skill-router/index.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-020,,docs/qa/feature-user-story-status.csv,Docs,Stack signatures page,docs/stack-signatures.md,mkdocs.yml nav,Medium,As a maintainer I can understand stack signature matching,The page documents stack signatures and how repo signals inform recommendations,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/stack-signatures.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-021,,docs/qa/feature-user-story-status.csv,Docs,Skill-stack matrix page,docs/skill-stack-matrix.md,mkdocs.yml nav,Medium,As a docs visitor I can inspect skill to stack coverage,The page documents how skills map to stack signals and where recommendations come from,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/skill-stack-matrix.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
DOC-NAV-022,,docs/qa/feature-user-story-status.csv,Docs,Marketplace registry page,docs/marketplace-registry.md,mkdocs.yml nav,Medium,As a docs visitor I can understand marketplace registry data,The page documents registry source expectations and public catalog meaning,Docs build environment available,python -m mkdocs build --strict --quiet plus tracker nav coverage test,Automated Test,Tested Pass,PASS: docs/marketplace-registry.md is present in mkdocs.yml nav; python -m mkdocs build --strict --quiet passed; tracker nav coverage test passed for this entrypoint.,,,,,,2026-06-29,Core/Docs Lane,Added for public MkDocs nav coverage enforcement.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
